access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,maximum_vehicle_class,open_date,owner_type_code,restricted_access,status_code,funding_sources,facility_type,station_name,station_phone,updated_at,geocode_status,latitude,longitude,city,country,intersection_directions,plus4,state,street_address,zip,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_has_rng,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_workplace_charging,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_has_rng,lng_renewable_source,lng_vehicle_class,lpg_nozzle_types,lpg_primary,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blended_with_biodiesel,rd_blends,rd_blends_fr,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids
public,24 hours daily,,,2025-02-08,,ELEC,Public,38254,,2009-03-15,,,E,,,SEAPORT GARAGE EAST GARAGE2 P1,888-758-4389,2025-02-08T01:09:23Z,GPS,42.349249,-71.041557,Boston,US,Seaport parking East P1,,MA,1 Seaport Ln,02210,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,https://www.chargepoint.com,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL367381'], 'posts': ['499091', '499101']}"
public,24 hours daily; pay lot,,,2024-01-09,,ELEC,Public,43860,LD,2011-12-09,P,False,E,,PAY_GARAGE,State Street Garage,617-443-2816,2024-01-31T22:07:01Z,200-9,42.358449,-71.055089,Boston,US,,,MA,75 State St,02109,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,
public,Garage business hours,,,2023-02-13,,ELEC,Public,63990,LD,2014-08-01,P,True,E,,PARKING_GARAGE,Standard Parking,617-523-0928,2023-02-14T15:54:11Z,200-9,42.359957,-71.062137,Boston,US,,,MA,100 Cambridge St,02114,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,
public,24 hours daily,,,2025-02-08,,ELEC,Public,67371,,2015-05-30,,,E,,,BUMC-BMC 610 ALBANY 4,888-758-4389,2025-02-08T01:13:37Z,GPS,42.33593,-71.067034,Boston,US,Enter gararge on BioSquare Dr. Station on 1st level west of entrance,,MA,610 Albany St,02118,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,https://www.chargepoint.com,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL643401'], 'posts': ['865031', '865041']}"
public,24 hours daily,,,2025-02-08,,ELEC,Public,82264,,2017-04-12,,,E,,,100 CLARENDON STATION 3,888-758-4389,2025-02-08T01:13:04Z,GPS,42.347597,-71.073954,Boston,US,,,MA,100 Clarendon St,02116,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,https://www.chargepoint.com,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL611981'], 'posts': ['828171', '828181']}"
public,Garage business hours; pay lot,,,2024-01-09,,ELEC,Public,82461,LD,2016-06-01,P,False,E,,PAY_GARAGE,North Station Garage,617-222-3042,2024-01-31T22:07:01Z,200-8,42.36758,-71.065477,Boston,US,,,MA,121 Nashua St,02114,,,,,,,,,,,,['J1772'],,,4.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,
public,24 hours daily,,,2025-02-08,,ELEC,Public,96810,,2018-04-25,,,E,,,MFA GARAGE 2,888-758-4389,2025-02-08T01:10:33Z,GPS,42.338347,-71.095968,Boston,US,,,MA,20 Museum Rd,02115,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,https://www.chargepoint.com,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL446471'], 'posts': ['603241', '603251']}"
public,5:30am-11:30pm daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,2024-07-01,,ELEC,Public,102196,,2018-07-23,P,,E,,,South Bay Town Center - Tesla Supercharger,877-798-3752,2025-01-09T17:57:07Z,200-9,42.3255,-71.0633,Boston,US,,,MA,101 Allstate Road,02125,,,,,,,,,,,,['TESLA'],10.0,,,Tesla,https://www.tesla.com/supercharger,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,
public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,2024-07-01,,ELEC,Public,102197,,2018-07-23,P,,E,,,The Prudential Center - Tesla Supercharger,877-798-3752,2025-01-09T17:57:07Z,200-8,42.34717,-71.081003,Boston,US,,,MA,800 Boylston Street,02199,,,,,,,,,,,,['TESLA'],8.0,,,Tesla,https://www.tesla.com/supercharger,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,
public,,,,2024-07-01,,ELEC,Public,114320,,2015-07-09,P,,E,,HOTEL,The Westin Copley Place - Tesla Destination,877-798-3752,2025-01-09T17:57:07Z,200-9,42.348627,-71.077525,Boston,US,,,MA,10 Huntington Ave,02116,,,,,,,,,,,,"['J1772', 'TESLA']",,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,
public,,,,2024-07-01,,ELEC,Public,114321,,2014-10-14,P,,E,,HOTEL,W Boston - Tesla Destination,877-798-3752,2025-01-09T17:57:07Z,200-9,42.350938,-71.065264,Boston,US,,,MA,100 Stuart St,02116,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,
public,,,,2024-07-01,,ELEC,Public,114322,,2014-11-18,P,,E,,HOTEL,Four Seasons Hotel Boston - Tesla Destination,877-798-3752,2025-01-09T17:57:07Z,200-9,42.352135,-71.068673,Boston,US,,,MA,200 Boylston St,02116,,,,,,,,,,,,['TESLA'],,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,
