name,address,price
Speedway,"5315 Washington StWest Roxbury, MA",$2.82
Emporium Gas,"3875 Washington StRoslindale, MA",$2.85
Mobil,"1465 VFW PkwyWest Roxbury, MA",$2.89
Speedway,"710 Gallivan BlvdDorchester, MA",$2.95
Stop & Shop,"950 American Legion HwyRoslindale, MA",$2.91
JP Oil,"525 Centre Jamaica Plain, MA",$2.97
Mobil,"1550 Commonwealth Ave Brighton, MA",$2.99
Akiki,"1171 Hyde Park AveHyde Park, MA",$2.99
Prime Energy,"497 Gallivan BlvdDorchester, MA",$2.85
Shell,"123 Cambridge StCharlestown, MA",$3.04
Cumberland Farms,"148 Chestnut Hill AveBrighton, MA",$3.09
Stop n Gas,"970 Washington StDorchester, MA",$2.99
Shell,"219 Cambridge StAllston, MA",$3.09
Sunoco,"2022 Commonwealth AveBrighton, MA",$3.09
Speedway,"1783 Centre StWest Roxbury, MA",$3.09
Speedway,"100 Brighton AveBoston, MA",$3.09
Speedway,"151 Old Colony AveSouth Boston, MA",$3.15
VIP,"120 N Beacon StBrighton, MA",$3.19
Speedway,"874 Dorchester AveDorchester, MA",$3.15
Stop & Shop,"1100 Massachusetts Ave.Dorchester, MA",$3.15
