[2],Landmark name,Image,Date designated,Location,Description
1,African Meeting House,More images,"May 30, 1974
(#71000087)","8 Smith Ct
Beacon Hill
42°21′36″N 71°03′56″W","Also known as the First African Baptist Church, it was built in 1806 and is now the oldest black church edifice still standing in the United States."
2,Nathan Appleton Residence,More images,"December 22, 1977
(#77001541)","39–40 Beacon Street
Beacon Hill
42°21′25″N 71°03′59″W","Residence of Nathan Appleton, a businessman involved in expanding the textile industry. His son-in-law was Henry Wadsworth Longfellow, who married Appleton's daughter Fanny in this house."
3,Arnold Arboretum,More images,"January 12, 1965
(#66000127)","Jamaica Plain
42°17′52″N 71°07′22″W","Harvard University-owned arboretum, founded in 1872 and designed by Frederick Law Olmsted."
4,Frederick Ayer Mansion,More images,"April 5, 2005
(#05000459)","395 Commonwealth Ave.
Back Bay
42°20′57″N 71°05′25″W","The home of textile businessman Frederick Ayer, its interior is one of few designed by Louis Comfort Tiffany, and its exterior has the only surviving instance of an outside mosaic by Tiffany."
5,Beacon Hill Historic District,More images,"December 29, 1962
(#66000130)","Beacon Hill
42°21′30″N 71°03′58″W","This architecturally significant neighborhood includes buildings designed by Charles Bulfinch, and has been home to many famous people, including nationally prominent politicians, businessmen, and academics."
6,Boston Athenaeum,More images,"December 21, 1965
(#66000132)","10 1/2 Beacon Street
Beacon Hill
42°21′30″N 71°03′43″W","Home of one of the nation's oldest and largest independent private libraries, this building was designed by Edward Clarke Cabot."
7,Boston Common,More images,"February 27, 1987
(#87000760)","Beacon Hill
42°21′18″N 71°03′56″W","Established in 1634, the Common is the nation's oldest public park."
8,Boston Light,More images,"January 29, 1964
(#66000133)","Little Brewster Island
Boston Harbor
42°19′40″N 70°53′24″W","The nation's second oldest standing lighthouse, Boston Light was built on the site of the first lighthouse in what is now the United States. It is the only lighthouse permanently staffed by the United States Coast Guard."
9,Boston Naval Shipyard,More images,"November 13, 1966
(#66000134)","Charlestown
42°22′26″N 71°03′23″W","One of the USA's oldest shipyards, this shipyard is home to two NHL ships (USS Constitution and USS Cassin Young), and has the only surviving ropewalk that has not been moved or significantly altered."
10,Boston Public Garden,More images,"February 27, 1987
(#87000761)","Back Bay
42°21′15″N 71°04′12″W","The nation's first public botanical garden, it was laid out in the French Second Empire style in the 1860s."
